,title,company.display_name,created,location.display_name,salary_max,salary_min,category.label
4508,Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",70000.0,65000.0,IT Jobs
4509,Experienced JavaScript Developer,Rebellion,2025-04-09T12:43:51Z,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs
4510,Senior JavaScript Developer,Lloyds Bank,2025-08-31T17:47:43Z,UK,58267.19,58267.19,IT Jobs
4511,Fullstack Javascript Developer,83zero Ltd,2025-09-04T23:10:29Z,"London, UK",70000.0,65000.0,IT Jobs
4512,Fullstack Javascript Developer,83zero Limited,2025-09-05T03:10:02Z,"Central London, London",70000.0,70000.0,IT Jobs
4513,Senior JavaScript Developer,Monterosa,2025-07-18T11:49:27Z,UK,48611.46,48611.46,IT Jobs
4514,NodeJS and JavaScript Developer,Infosys,2025-05-22T08:54:34Z,UK,47346.37,47346.37,IT Jobs
4515,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",82000.0,71000.0,IT Jobs
4516,JavaScript Developer - Expression of Interest,Cambridge Intelligence,2025-06-09T13:03:31Z,"Cambridge, Cambridgeshire",45869.72,45869.72,IT Jobs
4517,Senior Fullstack Javascript Developer,83zero Ltd,2025-09-04T17:11:53Z,"London, UK",82000.0,71000.0,IT Jobs
4518,JavaScript Developer - Hybrid Remote,Vertech Group  Ltd,2025-08-29T22:30:46Z,"Lower Holloway, North London",80000.0,65000.0,IT Jobs
4519,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05T03:10:39Z,"Central London, London",80000.0,80000.0,IT Jobs
4520,JavaScript Developer - Hybrid (Manchester ),Circle Group,2025-08-20T13:27:38Z,"Manchester, Greater Manchester",40000.0,40000.0,IT Jobs
4521,Full-Stack Javascript Developer – Central London (IT),Nexus Jobs Limited,2025-08-13T14:20:32Z,"London, UK",44198.56,44198.56,IT Jobs
4522,Javascript Developer,Track24,2025-09-06T00:35:08Z,"Finsbury, Central London",60000.0,60000.0,IT Jobs
4523,Javascript Developer,Lloyds Bank,2025-08-31T17:44:01Z,UK,58410.0,47790.0,IT Jobs
4524,JavaScript Developer,Sellick Partnership,2025-09-04T14:19:06Z,"Newcastle Upon Tyne, Tyne & Wear",55000.0,48000.0,IT Jobs
4525,Senior Full Stack JavaScript Developer,83zero,2025-09-06T11:37:56Z,"The City, Central London",66045.53,66045.53,IT Jobs
4526,Java with Javascript Developer - Financial Systems - East London (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"London, UK",55000.0,55000.0,IT Jobs
4527,Front End Javascript Developer with Agile – Brighton Sussex (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"Brighton, East Sussex",300.0,300.0,IT Jobs
4528,Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",70000.0,65000.0,IT Jobs
4529,Experienced JavaScript Developer,Rebellion,2025-04-09T12:43:51Z,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs
4530,Senior JavaScript Developer,Lloyds Bank,2025-08-31T17:47:43Z,UK,58267.19,58267.19,IT Jobs
